Produk Makanan,Preferensi,Harga,Restoran,Rating,Lokasi,URL_Gambar
Ramen Katsu Curry,Japanese,28500,Reisban Coffee Shop,"4,7","Jl. Menukan No.278 Brontokusuman Mergangsan, Kota Yogyakarta, DIY Yogyakarta",https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcQxhUtweItiCPhdezAh-kW4KovEFEqyIt5bjv_VSNb8W9_PMHka6uwnQ_rf57ESk3V92fI&usqp=CAU
Galatin Spesial,Western,39000,Essen Choco Pot,5,"Jl. Gedong Kuning No. 48A, Banguntapan, Yogyakarta",https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcT2dOUurGYE2TApp_0el2hE_wP2iEoPB91TPA&s
Nasi Dori Sambal Matah,Western,39000,Essen Choco Pot,5,"Jl. Gedong Kuning No. 48A, Banguntapan, Yogyakarta",https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcRXK8v38N-0CE4wLaTz7hVf_m42-9TMKK1fig&s
Chicken Salted Egg Rice,Western,39000,Essen Choco Pot,5,"Jl. Gedong Kuning No. 48A, Banguntapan, Yogyakarta",https://media-cdn.tripadvisor.com/media/photo-s/13/fe/47/c8/salted-egg-chicken-rice.jpg
Grilled Choco Cheese Banana,Western,22800,Essen Choco Pot,5,"Jl. Gedong Kuning No. 48A, Banguntapan, Yogyakarta",https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcTGnKG3SKXmswATkJUDw9_47QzBSjpdgZfv_w&s
Croffie,Western,12000,Buttersweet,"3,9","Saman Utara No. 56, Bangunharjo, Sewon, Yogyakarta",https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcQwoHsX73BOvNVzBw9PvsKA6vOUnfW6E7KoIylg1ZRBnyKrLqffcvbUqSoGzbyoJ4BSMr8&usqp=CAU
Baguette 30 cm,Western,14400,Buttersweet,"3,9","Saman Utara No. 56, Bangunharjo, Sewon, Yogyakarta",https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcTtuV3Y5m5i2x5BAq-8jKYY5SIJgRErIarcFXpdWWsv_88n47JD6lAegf056yah3uZzTMQ&usqp=CAU
"Zuppa Soup Smoked Beef, Sosis",Western,22000,Wangoen Zuppa Soup,5,"Jl. Pandeyan No. 17 A, Umbulharjo, Yogyakarta",https://pict.sindonews.net/dyn/850/pena/news/2023/01/06/185/988775/resep-praktis-zuppa-soup-ayam-yang-creamy-dan-renyah-cocok-disantap-di-kala-hujan-sht.jpg
Zuppa Soup Ayam Sosis,Western,20000,Wangoen Zuppa Soup,5,"Jl. Pandeyan No. 17 A, Umbulharjo, Yogyakarta",https://chanelmuslim.com/wp-content/uploads/2021/06/IMG_20210625_044929_copy_700x440-700x375.jpg
Macaroni Schotel Cheese,Western,26000,Mamam Food,"4,7",Jln Pringmayang Gg. Flamboyan No 21 Pringgolayan Banguntapan Bantul,https://cdn.idntimes.com/content-images/post/20210520/sch-4ada6905ea39e69843d0050ebc09083a_600x400.jpg
Macaroni Brulee,Western,38000,Mamam Food,"4,7",Jln Pringmayang Gg. Flamboyan No 21 Pringgolayan Banguntapan Bantul,https://madameschotel.com/wp-content/uploads/2021/03/macaroni-brulee-surabaya-3.jpg
Spaghetti Bolognese Cheese,Western,30000,Mamam Food,"4,7",Jln Pringmayang Gg. Flamboyan No 21 Pringgolayan Banguntapan Bantul,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcRkSLwqF8QDPmkaMq5qKw3R81Zq2KYrg7kc6w&s
Cordon Bleu,Western,44850,Waroeng Steak and Shake,"4,8","Jl. Cendrawasih No. 30, Depok, Yogyakarta",https://www.cookingclassy.com/wp-content/uploads/2022/12/chicken-cordon-bleu-4.jpg
Steak Waroeng,Western,34500,Waroeng Steak and Shake,"4,8","Jl. Cendrawasih No. 30, Depok, Yogyakarta",https://images.tokopedia.net/img/KRMmCm/2024/3/19/fd02a770-1105-4d1a-9e73-51b8b1d6b531.png
Dory Grill,Western,46600,Waroeng Steak and Shake,"4,8","Jl. Cendrawasih No. 30, Depok, Yogyakarta",https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcTrxO4aRBSDBcXbGA1CSLex_EG7yQLrH1_NflvtxNY2Y6iiM6JcQPeUk6y4UGkBaRTHmbE&usqp=CAU
Nasi Goreng Beras Merah,Indonesia,28800,Grennesia Salad Bar,"4,7","Jl. Parangtritis No. 73, Mergangsan, Yogyakarta",https://static.promediateknologi.id/crop/0x0:0x0/0x0/webp/photo/indizone/2020/01/29/bnsbRA/t_5e313ae6ba31c.jpg
Mie Goreng Shirataki,Japanese,28000,Grennesia Salad Bar,"4,7","Jl. Parangtritis No. 73, Mergangsan, Yogyakarta",https://i0.wp.com/resepkoki.id/wp-content/uploads/2020/11/Resep-Mie-shirataki-goreng.jpg?fit=450%2C600&ssl=1
Chicken Egg Bomb Salad,Western,45000,Grennesia Salad Bar,"4,7","Jl. Parangtritis No. 73, Mergangsan, Yogyakarta",https://dishnthekitchen.com/wp-content/uploads/2023/08/coverChickenEggSalad-1460x973.jpg
Sandwich Gandum Isian Tuna,Western,33000,Grennesia Salad Bar,"4,7","Jl. Parangtritis No. 73, Mergangsan, Yogyakarta",https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcQxpLTKApO5LwHcRka1IPUijExJpIZEzPgSSg&s
